Paper MM | v2: OBI + continuous skew + dynamic spread
  2 markets | 2 contracts | 10s interval
Session: 20260319-130921-e5e067
Started: 2026-03-19T13:09:21.731803+00:00 | Duration: 86400s | DB: data/mm_paper.db
----------------------------------------------------------------------
  [13:09:22] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:09:27] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=22c sprd=3 q_yes=170 q_no=280 inv=0 pnl=0.0c
  [13:09:32] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:09:38] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=22c sprd=3 q_yes=170 q_no=280 inv=0 pnl=0.0c
  [13:09:43] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:09:48] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=22c sprd=3 q_yes=170 q_no=280 inv=0 pnl=0.0c
  [13:09:54] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:09:59] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=22c sprd=3 q_yes=170 q_no=280 inv=0 pnl=0.0c
  [13:10:05] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:10:10] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=22c sprd=3 q_yes=170 q_no=280 inv=0 pnl=0.0c
  [13:10:16] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
    TRADES KXLOLTOTALMAPS-26MAR19LYGEN-4: 4 new, vol=1118 mode=PRE
    DRAIN KXLOLTOTALMAPS-26MAR19LYGEN-4 yes@21: drain=1118 qpos=170→0
    FILL KXLOLTOTALMAPS-26MAR19LYGEN-4 yes@21: 2 contracts filled!
  >>> FILL [MAKER] yes_bid 2@21c fee=0.58c inv=2 pnl=-0.6c queue_time=54s
  [13:10:21] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=21c sprd=6 q_yes=- q_no=280 inv=2 pnl=-0.6c
  [13:10:27] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:10:32] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=21c sprd=6 q_yes=- q_no=280 inv=2 pnl=-0.6c
  [13:10:37] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
    TRADES KXLOLTOTALMAPS-26MAR19LYGEN-4: 3 new, vol=168 mode=PRE
    DRAIN KXLOLTOTALMAPS-26MAR19LYGEN-4 no@76: drain=168 qpos=280→112
  [13:10:43] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=22c sprd=7 q_yes=- q_no=112 inv=2 pnl=-0.6c
  [13:10:48] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:10:54] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=22c sprd=7 q_yes=- q_no=112 inv=2 pnl=-0.6c
  [13:10:59] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:11:05] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=22c sprd=7 q_yes=- q_no=112 inv=2 pnl=-0.6c
  [13:11:10] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
    TRADES KXLOLTOTALMAPS-26MAR19LYGEN-4: 1 new, vol=70 mode=PRE
    DRAIN KXLOLTOTALMAPS-26MAR19LYGEN-4 no@76: drain=70 qpos=112→42
